naics_code_2022,reason
000519,missing_bls_and_sba_row
238110,missing_bls_row
238120,missing_bls_row
238130,missing_bls_row
238140,missing_bls_row
238150,missing_bls_row
238160,missing_bls_row
238170,missing_bls_row
238190,missing_bls_row
238210,missing_bls_row
238220,missing_bls_row
238290,missing_bls_row
238310,missing_bls_row
238320,missing_bls_row
238330,missing_bls_row
238340,missing_bls_row
238350,missing_bls_row
238390,missing_bls_row
238910,missing_bls_row
238990,missing_bls_row
517122,missing_bls_row
238111,missing_sba_row
238112,missing_sba_row
238121,missing_sba_row
238122,missing_sba_row
238131,missing_sba_row
238132,missing_sba_row
238141,missing_sba_row
238142,missing_sba_row
238151,missing_sba_row
238152,missing_sba_row
238161,missing_sba_row
238162,missing_sba_row
238171,missing_sba_row
238172,missing_sba_row
238191,missing_sba_row
238192,missing_sba_row
238211,missing_sba_row
238212,missing_sba_row
238221,missing_sba_row
238222,missing_sba_row
238291,missing_sba_row
238292,missing_sba_row
238311,missing_sba_row
238312,missing_sba_row
238321,missing_sba_row
238322,missing_sba_row
238331,missing_sba_row
238332,missing_sba_row
238341,missing_sba_row
238342,missing_sba_row
238351,missing_sba_row
238352,missing_sba_row
238391,missing_sba_row
238392,missing_sba_row
238911,missing_sba_row
238912,missing_sba_row
238991,missing_sba_row
238992,missing_sba_row
521110,missing_sba_row
551114,missing_sba_row
814110,missing_sba_row
999999,missing_sba_row
111110,no_cbp_mapping
111120,no_cbp_mapping
111130,no_cbp_mapping
111140,no_cbp_mapping
111150,no_cbp_mapping
111160,no_cbp_mapping
111191,no_cbp_mapping
111199,no_cbp_mapping
111211,no_cbp_mapping
111219,no_cbp_mapping
111310,no_cbp_mapping
111320,no_cbp_mapping
111331,no_cbp_mapping
111332,no_cbp_mapping
111333,no_cbp_mapping
111334,no_cbp_mapping
111335,no_cbp_mapping
111336,no_cbp_mapping
111339,no_cbp_mapping
111411,no_cbp_mapping
111419,no_cbp_mapping
111421,no_cbp_mapping
111422,no_cbp_mapping
111910,no_cbp_mapping
111920,no_cbp_mapping
111930,no_cbp_mapping
111940,no_cbp_mapping
111991,no_cbp_mapping
111992,no_cbp_mapping
111998,no_cbp_mapping
112111,no_cbp_mapping
112112,no_cbp_mapping
112120,no_cbp_mapping
112210,no_cbp_mapping
112310,no_cbp_mapping
112320,no_cbp_mapping
112330,no_cbp_mapping
112340,no_cbp_mapping
112390,no_cbp_mapping
112410,no_cbp_mapping
112420,no_cbp_mapping
112511,no_cbp_mapping
112512,no_cbp_mapping
112519,no_cbp_mapping
112910,no_cbp_mapping
112920,no_cbp_mapping
112930,no_cbp_mapping
112990,no_cbp_mapping
482111,no_cbp_mapping
482112,no_cbp_mapping
491110,no_cbp_mapping
525110,no_cbp_mapping
525120,no_cbp_mapping
525190,no_cbp_mapping
525920,no_cbp_mapping
212114,non_allocable_2017_split
212115,non_allocable_2017_split
325314,non_allocable_2017_split
325315,non_allocable_2017_split
441227,non_allocable_2017_split
441330,non_allocable_2017_split
441340,non_allocable_2017_split
444140,non_allocable_2017_split
444180,non_allocable_2017_split
444230,non_allocable_2017_split
444240,non_allocable_2017_split
445131,non_allocable_2017_split
445240,non_allocable_2017_split
445250,non_allocable_2017_split
445298,non_allocable_2017_split
445320,non_allocable_2017_split
449110,non_allocable_2017_split
449121,non_allocable_2017_split
449122,non_allocable_2017_split
449129,non_allocable_2017_split
449210,non_allocable_2017_split
455110,non_allocable_2017_split
455211,non_allocable_2017_split
455219,non_allocable_2017_split
456110,non_allocable_2017_split
456120,non_allocable_2017_split
456130,non_allocable_2017_split
456191,non_allocable_2017_split
456199,non_allocable_2017_split
458110,non_allocable_2017_split
458210,non_allocable_2017_split
458310,non_allocable_2017_split
458320,non_allocable_2017_split
459110,non_allocable_2017_split
459120,non_allocable_2017_split
459130,non_allocable_2017_split
459140,non_allocable_2017_split
459210,non_allocable_2017_split
459310,non_allocable_2017_split
459410,non_allocable_2017_split
459420,non_allocable_2017_split
459510,non_allocable_2017_split
459910,non_allocable_2017_split
459920,non_allocable_2017_split
459991,non_allocable_2017_split
459999,non_allocable_2017_split
513110,non_allocable_2017_split
513120,non_allocable_2017_split
513130,non_allocable_2017_split
513140,non_allocable_2017_split
513191,non_allocable_2017_split
513199,non_allocable_2017_split
516120,non_allocable_2017_split
516210,non_allocable_2017_split
517112,non_allocable_2017_split
517121,non_allocable_2017_split
519290,non_allocable_2017_split
